,station_id,Ammonium_2019,Ammonium_2020,Coli-like-bacteria_2019,Coli-like-bacteria_2020,Colony-count-at-22-C_2019,Colony-count-at-22-C_2020,Color-Pt/Co-scale_2019,Color-Pt/Co-scale_2020,Electrical-conductivity_2019,Electrical-conductivity_2020,Escherichia-coli_2019,Escherichia-coli_2020,Iron_2019,Iron_2020,Manganese_2019,Manganese_2020,Odour-dilution-level_2019,Odour-dilution-level_2020,Taste-dilution-degree_2019,Taste-dilution-degree_2020,Turbidity-NTU_2019,Turbidity-NTU_2020,pH _2019,pH _2020,compliance_2019,compliance_2020,compliance_2021
2,205,0.05,0.24,0.0,0.0,0.0,0.0,0.0,0.0,448.0,359.0,0.0,0.0,20.0,21.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.8,7.7,0,0,0
3,1228,0.09,0.05,0.0,0.0,15.0,2.0,4.0,4.0,978.0,920.0,0.0,0.0,21.0,10.0,8.75,8.75,1.0,1.25,1.0,1.25,0.5,0.5,7.44,7.58,0,0,0
4,470,0.06,0.05,0.0,2.0,1.0,31.0,3.5,3.5,446.0,579.0,0.0,0.0,84.0,3500.0,7.5,7.5,1.0,1.5,1.0,1.5,0.2,44.0,7.7,8.0,0,1,0
5,614,0.12,0.13,0.0,0.0,97.0,300.0,3.0,3.0,500.0,505.0,0.0,0.0,100.0,110.0,6.25,6.25,1.0,1.75,1.0,1.75,0.5,0.5,8.64,8.45,0,0,1
6,1420,0.175,0.16333333333333333,0.0,0.0,53.0,15.0,4.0,4.0,240.0,213.0,0.0,0.0,49.0,53.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,7.5,8.0,0,0,0
7,188,0.23,0.19666666666666666,0.0,0.0,17.0,74.0,5.0,4.1,889.0,987.0,0.0,0.0,250.0,280.0,5.0,20.5,1.2000000000000002,2.0,1.2000000000000002,2.0,0.5,0.5,7.45,7.4,1,1,0
8,1286,0.2,0.23,0.0,0.0,25.0,0.0,6.0,4.2,640.0,638.0,0.0,0.0,240.0,150.0,5.0,36.0,1.4000000000000001,2.0,1.4000000000000001,2.0,0.72,0.5,7.5,7.7,1,0,1
9,736,0.05,0.14,0.0,0.0,33.0,26.0,9.0,11.0,835.0,822.0,0.0,0.0,82.0,68.0,5.0,28.333333333333332,1.6,2.0,1.6,2.0,0.5,0.5,7.53,7.26,0,0,0
11,1417,0.16999999999999998,0.14,0.0,0.0,14.0,37.0,3.0,3.0,368.0,365.0,0.0,0.0,29.0,50.0,5.0,13.0,2.0,2.0,2.0,2.0,1.0,1.0,7.8,8.1,0,0,0
12,169,0.29,0.23,0.0,0.0,11.0,12.0,2.0,2.0,536.0,550.0,0.0,0.0,55.0,45.0,20.0,20.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.3,0.4,8.1,8.2,0,1,0
13,1526,0.16,0.06,0.0,0.0,8.0,6.0,1.0,1.0,514.0,566.0,0.0,0.0,42.0,228.0,16.666666666666664,9.5,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.7000000000000001,0.7,7.68,7.88,0,1,0
14,1938,0.05,0.0775,0.0,0.0,5.0,0.0,0.0,0.0,293.0,268.0,0.0,0.0,31.0,136.0,13.333333333333332,8.0,1.0,1.0,1.0,1.0,1.1,1.0,7.6,7.5,0,0,0
15,286,0.05,0.095,0.0,0.0,17.0,4.0,0.0,0.0,284.0,323.0,0.0,0.0,20.0,130.5,10.0,6.5,1.0,1.0,1.0,1.0,1.0,1.0,7.1,7.5,0,0,0
16,990,0.05,0.1125,0.0,0.0,29.0,8.0,2.0,2.0,503.0,498.0,0.0,0.0,28.0,125.0,5.0,5.0,2.0,2.0,2.0,2.0,4.6,1.0,7.7,7.9,0,0,0
17,823,0.2,0.13,0.0,0.0,21.0,17.0,3.0,3.0,556.0,854.0,0.0,0.0,98.0,95.0,24.0,53.7,2.0,4.0,2.0,4.0,1.0,1.1,7.4,7.8,0,1,0
19,1318,0.05,0.10775,0.0,0.0,76.0,6.0,5.0,7.0,767.0,464.0,0.0,0.0,40.0,54.0,4.666666666666666,31.85,3.0,1.0,3.0,1.0,0.5,0.5,7.6,7.24,1,0,0
20,1441,0.05,0.096625,0.0,0.0,80.0,24.0,3.0,3.0,573.0,630.0,0.0,0.0,120.0,30.0,7.333333333333333,20.925,2.0,1.0,2.0,1.0,0.5,0.5,7.83,7.73,0,0,0
27,548,0.03,0.03,0.0,0.0,23.0,254.5,2.5,2.5,457.0,451.0,0.0,0.0,60.0,45.0,23.6,10.75,1.6666666666666665,11.333333333333332,1.6666666666666665,11.333333333333332,0.3,0.3,7.5,7.4,0,0,0
29,1017,0.05,0.135,0.0,0.0,37.0,44.0,6.0,8.0,710.0,761.0,0.0,0.0,185.0,395.0,36.0,10.25,1.0,2.0,1.0,2.0,1.8,3.7,7.3,7.5,0,1,0
30,513,0.13,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,382.0,299.0,0.0,0.0,20.0,20.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,7.3,0,0,0
