,station_id,Aluminium_2019,Aluminium_2020,Ammonium_2019,Ammonium_2020,Boron_2019,Boron_2020,Chloride_2019,Chloride_2020,Coli-like-bacteria-Colilert_2019,Coli-like-bacteria-Colilert_2020,Coli-like-bacteria_2019,Coli-like-bacteria_2020,Colony-count-at-22-C_2019,Colony-count-at-22-C_2020,Color-Pt-Co-unit_2019,Color-Pt-Co-unit_2020,Color-Pt/Co-scale_2019,Color-Pt/Co-scale_2020,Electrical-conductivity_2019,Electrical-conductivity_2020,Enterococci_2019,Enterococci_2020,Escherichia-coli-Colilert_2019,Escherichia-coli-Colilert_2020,Escherichia-coli_2019,Escherichia-coli_2020,Fluoride_2019,Fluoride_2020,Iron_2019,Iron_2020,Manganese_2019,Manganese_2020,Nitrate_2019,Nitrate_2020,Nitrite_2019,Nitrite_2020,Odour-dilution-level_2019,Odour-dilution-level_2020,Oxidability_2019,Oxidability_2020,Smell-ball-units_2019,Smell-ball-units_2020,Sodium_2019,Sodium_2020,Sulphate_2019,Sulphate_2020,Taste-ball-units_2019,Taste-ball-units_2020,Taste-dilution-degree_2019,Taste-dilution-degree_2020,Turbidity-NTU_2019,Turbidity-NTU_2020,pH _2019,pH _2020,compliance_2019,compliance_2020,compliance_2021
0,487,10.0,5.0,0.05,0.05,0.1785,0.2525,21.5,31.0,0.0,0.0,0.0,0.0,5.0,6.0,1.8,1.9,2.5,2.1,474.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.69,20.0,20.0,10.0,11.0,1.0,1.0,0.004,0.01,1.0,1.0,1.2,1.5,0.0,0.0,31.7,36.2,9.4,10.0,0.0,0.0,1.0,1.0,1.6,0.2,7.8,7.6,0,0,0
1,1555,10.0,5.0,0.05,0.05,0.1785,0.2525,21.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,465.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.69,20.0,20.0,10.0,11.0,1.0,1.0,0.004,0.01,1.0,1.0,1.2,1.5,0.0,0.0,31.7,36.2,9.4,10.0,0.0,0.0,1.0,1.0,1.0,1.0,7.3,7.1,0,0,0
2,205,10.0,10.0,0.05,0.24,0.1785,0.1,21.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,448.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.1,20.0,21.0,10.0,10.0,1.0,1.0,0.004,0.01,1.0,1.0,1.2,1.5,0.0,0.0,31.7,36.2,9.4,10.0,0.0,0.0,1.0,1.0,1.0,1.0,7.8,7.7,0,0,0
3,1228,10.0,5.0,0.09,0.05,0.641,0.932,21.5,31.0,0.0,0.0,0.0,0.0,15.0,2.0,5.0,5.0,4.0,4.0,978.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.5,21.0,10.0,10.0,11.0,1.0,1.0,0.003,0.003,1.0,1.0,1.2,1.5,1.0,1.0,31.7,36.2,9.4,10.0,1.0,1.0,1.0,1.0,0.5,0.5,7.44,7.58,0,0,0
4,470,10.0,5.0,0.06,0.05,0.1785,0.2525,21.5,31.0,0.0,0.0,0.0,2.0,1.0,31.0,6.6,5.0,2.5,2.1,446.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.69,84.0,3500.0,10.0,11.0,1.0,1.0,0.004,0.01,1.0,1.0,1.2,1.5,0.0,0.0,31.7,36.2,9.4,10.0,0.0,0.0,1.0,1.0,0.2,44.0,7.7,8.0,0,1,0
5,614,10.0,5.0,0.12,0.13,0.1785,0.2525,21.5,31.0,0.0,0.0,0.0,0.0,97.0,300.0,5.0,5.0,3.0,3.0,500.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.36,100.0,110.0,10.0,11.0,1.0,1.0,0.004,0.01,1.0,1.0,1.2,1.5,1.0,1.0,31.7,36.2,9.4,10.0,1.0,1.0,1.0,1.0,0.5,0.5,8.64,8.45,0,0,1
6,1420,10.0,5.0,0.05,0.05,0.1785,0.2525,21.5,31.0,0.0,0.0,0.0,0.0,53.0,15.0,5.0,5.0,4.0,4.0,240.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.69,49.0,53.0,5.0,5.0,1.0,1.0,0.004,0.01,1.0,2.0,1.2,1.5,0.0,0.0,31.7,36.2,9.4,10.0,0.0,0.0,1.0,2.0,1.0,1.0,7.5,8.0,0,0,0
7,188,10.0,5.0,0.23,0.05,0.1785,0.2525,21.5,31.0,0.0,0.0,0.0,0.0,17.0,74.0,5.0,5.0,2.5,2.1,889.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.69,250.0,280.0,10.0,11.0,1.0,1.0,0.004,0.01,1.0,1.0,1.2,1.5,0.0,0.0,31.7,36.2,9.4,10.0,0.0,0.0,1.0,1.0,0.5,0.5,7.45,7.4,1,1,0
8,1286,10.0,50.0,0.2,0.23,0.1785,0.091,21.5,6.5,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,6.0,4.2,640.0,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.52,240.0,150.0,10.0,36.0,1.0,0.04,0.004,0.003,1.0,1.0,1.2,1.8,0.0,0.0,31.7,15.0,9.4,1.1,0.0,0.0,1.0,1.0,0.72,0.5,7.5,7.7,1,0,1
9,736,10.0,5.0,0.05,0.05,0.1785,0.2525,21.5,31.0,0.0,0.0,0.0,0.0,33.0,26.0,5.0,5.0,9.0,11.0,835.0,822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.07,82.0,68.0,5.0,11.0,1.0,1.0,0.004,0.01,1.0,1.0,2.1,1.5,1.0,1.0,48.2,36.2,44.0,10.0,1.0,1.0,1.0,1.0,0.5,0.5,7.53,7.26,0,0,0
