aluminium;ammonium;boron;chloride;coli-like-bacteria-colilert;coli-like-bacteria;colony-count-at-22-c;color-pt-co-unit;color-pt/co-scale;electrical-conductivity;enterococci;escherichia-coli-colilert;escherichia-coli;fluoride;iron;manganese;nitrate;nitrite;odour-dilution-level;oxidability;smell-ball-units;sodium;sulphate;taste-ball-units;taste-dilution-degree;turbidity-ntu;ph ;compliance
5.0;0.05;0.2;23.0;0.0;0.0;5.0;1.8;2.1;474.0;0.0;0.0;0.0;0.67;20.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.6;7.8;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;465.0;0.0;0.0;0.0;0.67;20.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.3;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;0.0;448.0;0.0;0.0;0.0;0.67;20.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.8;0
5.0;0.09;0.641;23.0;0.0;0.0;15.0;5.0;4.0;978.0;0.0;0.0;0.0;1.36;21.0;10.0;1.0;0.003;1.0;1.3;1.0;34.8;10.0;1.0;1.0;0.5;7.44;0
5.0;0.06;0.2;23.0;0.0;0.0;1.0;6.6;2.1;446.0;0.0;0.0;0.0;0.67;84.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.2;7.7;0
5.0;0.12;0.2;23.0;0.0;0.0;97.0;5.0;3.0;500.0;0.0;0.0;0.0;1.5;100.0;10.0;1.0;0.008;1.0;1.3;1.0;34.8;10.0;1.0;1.0;0.5;8.64;0
5.0;0.05;0.2;23.0;0.0;0.0;53.0;5.0;4.0;240.0;0.0;0.0;0.0;0.67;49.0;5.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.5;0
5.0;0.23;0.2;23.0;0.0;0.0;17.0;5.0;2.1;889.0;0.0;0.0;0.0;0.67;250.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.5;7.45;1
5.0;0.2;0.2;23.0;0.0;0.0;5.0;5.0;6.0;640.0;0.0;0.0;0.0;0.67;240.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.72;7.5;1
5.0;0.05;0.2;23.0;0.0;0.0;33.0;5.0;9.0;835.0;0.0;0.0;0.0;0.79;82.0;5.0;1.0;0.008;1.0;2.1;1.0;48.2;44.0;1.0;1.0;0.5;7.53;0
5.0;0.05;0.2;23.0;0.0;0.0;5.0;2.4;2.1;411.0;0.0;0.0;0.0;0.67;21.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;0.2;7.7;0
5.0;0.05;0.2;23.0;0.0;0.0;14.0;5.0;3.0;368.0;0.0;0.0;0.0;0.67;29.0;5.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.0;7.8;0
5.0;0.29;0.277;16.0;0.0;0.0;11.0;6.4;2.1;536.0;0.0;0.0;0.0;1.09;55.0;20.0;1.0;0.005;1.0;0.93;0.0;23.0;13.0;0.0;1.0;0.3;8.1;0
5.0;0.16;0.2;23.0;0.0;0.0;5.0;5.0;2.1;514.0;0.0;0.0;0.0;0.67;42.0;10.0;0.67;0.039;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.68;0
5.0;0.05;0.2;23.0;0.0;0.0;5.0;5.0;0.0;293.0;0.0;0.0;0.0;0.67;42.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.1;7.6;0
10.0;0.05;0.3;50.0;0.0;0.0;5.0;5.0;0.0;284.0;0.0;0.0;0.0;1.2;20.0;10.0;1.0;0.002;1.0;0.7;0.0;37.0;8.8;0.0;1.0;1.0;7.1;0
5.0;0.05;0.311;50.0;0.0;0.0;29.0;5.0;2.0;503.0;0.0;0.0;0.0;0.62;28.0;5.0;0.48;0.01;2.0;1.2;0.0;48.4;7.0;0.0;2.0;4.6;7.7;0
4.0;0.2;0.211;22.0;0.0;0.0;21.0;5.0;3.0;556.0;0.0;0.0;0.0;0.71;98.0;24.0;0.76;0.01;2.0;1.3;0.0;22.9;13.0;0.0;2.0;1.0;7.4;0
4.0;0.05;0.075;16.0;0.0;0.0;24.0;5.0;4.0;559.0;0.0;0.0;0.0;0.44;21.0;2.0;0.56;0.01;4.0;1.7;0.0;10.7;5.0;0.0;4.0;3.3;7.3;0
5.0;0.05;0.371;23.0;0.0;0.0;76.0;5.0;5.0;767.0;0.0;0.0;0.0;1.91;40.0;10.0;1.0;0.008;1.0;1.3;1.0;34.8;10.0;1.0;1.0;0.5;7.6;1
5.0;0.05;0.2;23.0;0.0;0.0;80.0;5.0;3.0;573.0;0.0;0.0;0.0;0.57;120.0;10.0;1.0;0.008;1.0;1.3;1.0;34.8;10.0;1.0;1.0;0.5;7.83;0
5.0;0.05;0.2;23.0;0.0;0.0;10.0;5.0;0.0;316.0;0.0;0.0;0.0;0.67;20.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.7;0
5.0;0.05;0.2;23.0;0.0;0.0;0.0;5.0;2.0;561.0;0.0;0.0;0.0;0.67;25.0;10.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.5;0
5.0;0.05;0.2;23.0;0.0;0.0;4.0;5.0;2.0;804.0;0.0;0.0;0.0;0.67;14.0;5.0;1.0;0.008;1.0;1.3;0.0;34.8;10.0;0.0;1.0;1.0;7.5;0
5.0;0.05;0.2;23.0;0.0;0.0;4.0;5.0;2.0;570.0;0.0;0.0;0.0;0.67;18.0;5.0;1.0;0.008;2.0;1.3;0.0;34.8;10.0;0.0;2.0;1.0;7.6;0
