station_id,Ammonium,Coli-like-bacteria,Colony-count-at-22-C,Color-Pt/Co-scale,Electrical-conductivity,Escherichia-coli,Iron,Manganese,Odour-dilution-level,Taste-dilution-degree,Turbidity-NTU,pH ,compliance
165,0.08,0.0,4.0,7.0,1167.0,0.0,52.9,30.0,1.0,1.0,1.52,7.84,1
169,0.29,0.0,11.0,2.0,536.0,0.0,55.0,20.0,1.6666666666666663,1.6666666666666663,0.3,8.1,0
170,0.25,0.0,17.0,8.8,631.0,0.0,34.0,10.0,5.0,5.0,0.62,7.74,0
172,0.18,0.0,70.0,17.0,953.0,0.0,200.0,22.0,1.0,1.0,2.1,8.05,0
173,0.09,0.0,0.0,0.0,434.0,0.0,99.0,10.0,1.0,1.0,1.6,7.7,0
175,0.05,0.0,0.0,0.0,400.0,0.0,23.0,20.0,1.0,1.0,1.0,7.9,0
182,0.21,0.0,136.0,11.6,700.0,0.0,60.4,66.2,3.0,3.0,1.27,7.92,1
187,0.05,0.0,4.0,0.0,348.0,0.0,20.0,10.0,1.0,1.0,1.0,7.4,0
188,0.23,0.0,17.0,5.0,889.0,0.0,250.0,5.0,1.2000000000000002,1.2000000000000002,0.5,7.45,1
193,0.1,0.0,30.0,5.3,618.0,0.0,79.0,3.0,1.0,1.0,1.1,7.55,0
196,0.14,0.0,0.0,3.2,599.0,0.0,23.33333333333333,4.066666666666666,1.0,1.0,0.5,7.84,0
197,0.05,0.0,4.0,0.0,557.0,0.0,30.0,17.0,1.0,1.0,1.0,7.7,0
199,0.05,0.0,96.0,0.0,420.0,0.0,80.0,20.0,1.0,1.0,1.0,7.3,0
205,0.05,0.0,0.0,0.0,448.0,0.0,20.0,10.0,1.0,1.0,1.0,7.8,0
207,0.24,0.0,66.0,0.0,464.0,0.0,20.0,300.0,1.0,1.0,1.0,7.5,1
210,0.05,0.0,0.0,0.0,343.0,0.0,20.0,10.0,1.0,1.0,1.0,7.4,0
214,0.36,0.0,0.0,0.0,545.0,0.0,20.0,11.0,1.0,1.0,1.0,7.3,0
216,0.155,0.0,0.0,0.0,509.0,0.0,84.0,10.0,1.0,1.0,1.0,6.8,0
225,0.05,0.0,43.0,9.05,379.0,0.0,20.0,10.0,3.0,3.0,0.675,7.7,0
226,0.09,0.0,0.0,2.0,397.0,0.0,251.5,73.5,4.0,3.0,1.0,7.3,0
235,0.05,0.0,0.0,0.0,339.0,0.0,26.0,14.0,1.0,1.0,1.0,7.6,0
236,0.0699999999999999,0.0,0.0,0.0,324.0,0.0,20.0,10.0,1.0,1.0,1.0,7.6,0
243,0.027,0.0,4.5,5.0,538.0,0.0,33.0,11.0,3.0,3.0,0.5,8.3,0
